sub_id,within_state_ps,between_state_ps,cluster,cluster_type,task_index
23,0.7292095261459508,0.6905523225694671,RSC1,RSC,0.03865720357648372
24,0.7373508914700069,0.6698546784570871,RSC1,RSC,0.06749621301291975
1,0.8923612017397891,0.8662161025202246,l-IPS,CONT,0.026145099219564427
2,0.866676401752299,0.8250813112661574,l-IPS,CONT,0.04159509048614163
3,0.9009758723985295,0.8961155531349232,l-IPS,CONT,0.004860319263606305
4,0.9402128513141661,0.8952204792199705,l-IPS,CONT,0.0449923720941956
5,0.6246373208359621,0.6206335918850744,l-IPS,CONT,0.004003728950887742
6,0.9292924420625799,0.8218853254063634,l-IPS,CONT,0.1074071166562165
7,0.9095948276275547,0.9166321975686206,l-IPS,CONT,-0.007037369941065852
8,0.6324514744187554,0.6457023303119767,l-IPS,CONT,-0.01325085589322128
9,0.5769863068170811,0.48981895549267795,l-IPS,CONT,0.08716735132440312
10,0.6380915179963216,0.5936007965498789,l-IPS,CONT,0.04449072144644273
11,0.784415588339711,0.742119965660957,l-IPS,CONT,0.042295622678754086
12,0.5850845285722692,0.5552323750960273,l-IPS,CONT,0.029852153476241927
13,0.7946302845915738,0.7599281305542182,l-IPS,CONT,0.03470215403735566
14,0.6277597329741491,0.6034082296773169,l-IPS,CONT,0.024351503296832222
15,0.7164525697051143,0.6871659093200789,l-IPS,CONT,0.029286660385035357
16,0.5194726380784132,0.4868461466066445,l-IPS,CONT,0.03262649147176866
17,0.7942318653458221,0.7908336695400164,l-IPS,CONT,0.0033981958058056927
18,0.6740655573101313,0.6779908079801531,l-IPS,CONT,-0.003925250670021807
19,0.6930590059306652,0.6530133574233918,l-IPS,CONT,0.040045648507273324
20,0.6462595047181967,0.6480235217953507,l-IPS,CONT,-0.001764017077154012
21,0.7335797800467727,0.6965473595598832,l-IPS,CONT,0.037032420486889484
22,0.8747760866888812,0.8386914969292789,l-IPS,CONT,0.03608458975960227
23,0.6574934421208822,0.6135212052138623,l-IPS,CONT,0.0439722369070199
24,0.6884203456281155,0.5961781169413038,l-IPS,CONT,0.09224222868681164
1,1.0676231568822017,1.0879193269604333,r-IPS,CONT,-0.02029617007823159
2,0.7434077167653136,0.7344802277591411,r-IPS,CONT,0.008927489006172462
3,0.9144534638388446,0.9075505667728165,r-IPS,CONT,0.006902897066028091
4,0.7510726114171314,0.7593096373606443,r-IPS,CONT,-0.008237025943512832
