sub_id,within_state_ps,between_state_ps,cluster,cluster_type,cogState_index
20,0.7581530553898295,0.7320384359771587,r-IPS,CONT,0.026114619412670792
21,0.7676901633060986,0.7762559960121871,r-IPS,CONT,-0.008565832706088461
22,1.0261515870182123,1.0197971152822196,r-IPS,CONT,0.006354471735992684
23,0.8290841721180828,0.8167422319174664,r-IPS,CONT,0.012341940200616408
24,0.7232942383620428,0.5970670109342513,r-IPS,CONT,0.12622722742779147
1,0.49774123901631817,0.4925491616327966,PCUN,DMN,0.005192077383521565
2,0.40695605781576,0.4691510771257794,PCUN,DMN,-0.06219501931001942
3,0.4832406273602656,0.427336159868995,PCUN,DMN,0.05590446749127059
4,0.3347716533123404,0.38519278836645676,PCUN,DMN,-0.050421135054116384
5,0.23213399494147796,0.2147415614545396,PCUN,DMN,0.017392433486938363
6,0.761630982674579,0.5847448858837481,PCUN,DMN,0.1768860967908309
7,0.31543598236654036,0.42570804795685824,PCUN,DMN,-0.11027206559031788
8,0.46062556305423197,0.4384380277597517,PCUN,DMN,0.022187535294480254
9,0.15819748709122095,0.2823451933523542,PCUN,DMN,-0.12414770626113325
10,0.5019182266144179,0.5498562159777542,PCUN,DMN,-0.047937989363336375
11,0.47893554387479464,0.518821275307878,PCUN,DMN,-0.03988573143308338
12,0.6294199678368294,0.501033585511006,PCUN,DMN,0.12838638232582344
13,0.5354333008730906,0.592372527963149,PCUN,DMN,-0.056939227090058386
14,0.6645279483699764,0.6688737094956825,PCUN,DMN,-0.00434576112570606
15,0.5135259604770045,0.2610126131046587,PCUN,DMN,0.2525133473723458
16,0.5526243658311523,0.6462810227156845,PCUN,DMN,-0.09365665688453229
17,0.4252248404103677,0.306665926000969,PCUN,DMN,0.1185589144093987
18,0.6520256806999609,0.6296532653435098,PCUN,DMN,0.02237241535645107
19,0.4367655840668734,0.4724095890509251,PCUN,DMN,-0.035644004984051736
20,0.5530764501671607,0.5203650895210736,PCUN,DMN,0.03271136064608704
21,0.4421679968285313,0.4779824337765949,PCUN,DMN,-0.03581443694806358
22,0.5444937915522572,0.5048711898757476,PCUN,DMN,0.03962260167650955
23,0.3516235659075176,0.31304965993537937,PCUN,DMN,0.03857390597213822
24,0.5972069668228465,0.6140080898265585,PCUN,DMN,-0.01680112300371206
1,0.4706204638925773,0.16912631254092542,l-IPL1,DMN,0.30149415135165186
2,0.5878622603807484,0.6133109124673464,l-IPL1,DMN,-0.025448652086597967
3,0.38507337309437756,0.35983682452419324,l-IPL1,DMN,0.025236548570184314
4,0.2659414765994663,0.30622308831452516,l-IPL1,DMN,-0.04028161171505884
5,0.17593312812789252,0.18324635157559188,l-IPL1,DMN,-0.007313223447699357
6,0.48519059619860394,0.4415613548965318,l-IPL1,DMN,0.04362924130207213
7,0.04008395127353094,0.15461970963993704,l-IPL1,DMN,-0.1145357583664061
8,0.33022886830878884,0.315541146957494,l-IPL1,DMN,0.014687721351294813
9,0.23635771463279917,0.25240912981320185,l-IPL1,DMN,-0.01605141518040268
10,0.3328538417504213,0.33586840217187464,l-IPL1,DMN,-0.003014560421453316
11,0.32443417581220807,0.3846487412327194,l-IPL1,DMN,-0.060214565420511346
12,0.5434763956006522,0.5642756768410218,l-IPL1,DMN,-0.02079928124036956
13,0.3521083553580537,0.381074027865356,l-IPL1,DMN,-0.02896567250730231
14,0.31161945834199645,0.36413196137000364,l-IPL1,DMN,-0.052512503028007196
15,0.14249254977758435,0.1366842128469427,l-IPL1,DMN,0.005808336930641644
16,0.30505313185242056,0.3467395867427973,l-IPL1,DMN,-0.041686454890376756
17,0.41194030036007606,0.3653977209446071,l-IPL1,DMN,0.046542579415468965
18,0.3292202542260682,0.33226258968158945,l-IPL1,DMN,-0.003042335455521239
19,0.26105935441527905,0.2755082545529,l-IPL1,DMN,-0.014448900137620957
20,0.3900562034545346,0.38383726951089736,l-IPL1,DMN,0.0062189339436372615
21,0.5803711836934836,0.5867872234071696,l-IPL1,DMN,-0.006416039713685984
22,0.49461422281030104,0.4549515315269767,l-IPL1,DMN,0.039662691283324336
23,0.34703739685646356,0.3495387905078649,l-IPL1,DMN,-0.00250139365140134
24,0.37762543143832417,0.41624494100743337,l-IPL1,DMN,-0.0386195095691092
1,0.5585129491914932,0.6547094337747345,r-PFC,CONT,-0.09619648458324126
2,0.6966210334681686,0.6440042171757241,r-PFC,CONT,0.052616816292444524
3,0.6521824568921435,0.673325743624767,r-PFC,CONT,-0.021143286732623556
4,0.8897119599795578,0.9105622251368632,r-PFC,CONT,-0.02085026515730548
5,0.7860260975369024,0.6763351321846658,r-PFC,CONT,0.10969096535223666
6,0.6611487643901497,0.6739846682852003,r-PFC,CONT,-0.012835903895050627
7,0.6953037008634557,0.6907328665259567,r-PFC,CONT,0.004570834337499052
8,0.7970369292672498,0.8635947843124931,r-PFC,CONT,-0.06655785504524336
9,0.6277210246651592,0.636133348178876,r-PFC,CONT,-0.00841232351371679
10,0.8030512715783605,0.7035296055285001,r-PFC,CONT,0.09952166604986046
11,1.0274130877379393,0.9925188904596886,r-PFC,CONT,0.034894197278250716
12,1.009970854855728,1.0154762658614227,r-PFC,CONT,-0.0055054110056946826
13,0.720002182811531,0.6930605319894216,r-PFC,CONT,0.02694165082210942
14,0.6849150072531396,0.6641905730993005,r-PFC,CONT,0.020724434153839066
15,1.0560699410311218,0.9099997688166727,r-PFC,CONT,0.14607017221444918
16,0.8937021349670735,0.9337965403263733,r-PFC,CONT,-0.040094405359299756
17,0.47100892362292496,0.4347836190806158,r-PFC,CONT,0.036225304542309156
18,0.9833120773944504,0.9313902437569637,r-PFC,CONT,0.0519218336374867
19,0.8027285941525769,0.8655804986550635,r-PFC,CONT,-0.06285190450248657
20,0.7907979116521427,0.7139675603976777,r-PFC,CONT,0.07683035125446502
21,1.0863959545069006,1.1381964130088704,r-PFC,CONT,-0.05180045850196979
22,1.0629674951199235,0.9961926602566847,r-PFC,CONT,0.06677483486323876
23,0.7697046516962249,0.7271086818988751,r-PFC,CONT,0.04259596979734981
24,0.5467436262563794,0.5144175908046735,r-PFC,CONT,0.03232603545170587
1,0.5668535156415366,0.5174931019643572,l-PFC1,CONT,0.04936041367717947
2,0.5852896935556354,0.5566738045172097,l-PFC1,CONT,0.028615889038425713
3,1.0899216802322467,1.1069416702741095,l-PFC1,CONT,-0.01701999004186283
4,0.9166661643054257,0.8467858107430555,l-PFC1,CONT,0.06988035356237021
5,0.977375434056259,0.9119707792269849,l-PFC1,CONT,0.06540465482927416
6,0.8421389712424001,0.7955766323851953,l-PFC1,CONT,0.046562338857204844
7,0.5028516994144829,0.5701582680763101,l-PFC1,CONT,-0.06730656866182716
8,0.8464173825873245,0.8184572705652937,l-PFC1,CONT,0.027960112022030748
9,0.6084246269576146,0.680232662896519,l-PFC1,CONT,-0.07180803593890439
10,0.5226946861354512,0.5771137855968004,l-PFC1,CONT,-0.05441909946134915
11,0.8824208876008147,0.6180666358874372,l-PFC1,CONT,0.26435425171337756
12,0.7629933721639082,0.7092220695023475,l-PFC1,CONT,0.053771302661560716
13,1.042423265586093,1.0321122070872415,l-PFC1,CONT,0.0103110584988515
14,0.6984634352779482,0.763630544760242,l-PFC1,CONT,-0.06516710948229376
15,1.089831514681641,0.9475194422787299,l-PFC1,CONT,0.14231207240291122
16,0.5574855023635568,0.5503223343498755,l-PFC1,CONT,0.00716316801368122
17,1.208340405571024,1.0038983434797757,l-PFC1,CONT,0.20444206209124838
18,1.053725112563654,1.060709438346433,l-PFC1,CONT,-0.006984325782779077
19,0.6681652542010623,0.6424099703408748,l-PFC1,CONT,0.02575528386018755
20,0.8816136679273734,0.8136836585599843,l-PFC1,CONT,0.06793000936738913
21,0.9303240561069115,0.667822167691305,l-PFC1,CONT,0.2625018884156065
22,0.7431661590746197,0.6758881793988756,l-PFC1,CONT,0.06727797967574412
23,0.5169994399006931,0.47116117177703937,l-PFC1,CONT,0.045838268123653714
24,0.5831802455008971,0.4973373225469761,l-PFC1,CONT,0.08584292295392099
