sub_id,within_state_ps,between_state_ps,cluster,cluster_type,vis_index
1,0.9048682782948618,0.8671749521009081,l-IPS,CONT,0.03769332619395371
2,0.8765406058438285,0.815379552808039,l-IPS,CONT,0.06116105303578956
3,0.949580515954239,0.8647953893081186,l-IPS,CONT,0.08478512664612037
4,0.962712335085923,0.8802638250181878,l-IPS,CONT,0.08244851006773524
5,0.6762183224984943,0.5502537818581653,l-IPS,CONT,0.12596454064032903
6,0.8930850819847856,0.8575280597923585,l-IPS,CONT,0.03555702219242718
7,0.960507463308723,0.8645039622819221,l-IPS,CONT,0.096003501026801
8,0.7100290735157747,0.5945462325117252,l-IPS,CONT,0.11548284100404949
9,0.6200457806759091,0.43970264596539055,l-IPS,CONT,0.18034313471051855
10,0.6832246331030258,0.547991265272656,l-IPS,CONT,0.13523336783036988
11,0.8025263437157117,0.7367446338251914,l-IPS,CONT,0.06578170989052035
12,0.6155061456448503,0.5344511318607656,l-IPS,CONT,0.08105501378408464
13,0.8186579615358549,0.737657801958772,l-IPS,CONT,0.08100015957708295
14,0.6709366244954156,0.5488823320953414,l-IPS,CONT,0.12205429240007415
15,0.7610080657432472,0.6173759409736865,l-IPS,CONT,0.14363212476956067
16,0.552593205961814,0.4751514574828255,l-IPS,CONT,0.07744174847898855
17,0.8700408881153573,0.7136951816105955,l-IPS,CONT,0.15634570650476176
18,0.694599050694148,0.665052982200109,l-IPS,CONT,0.029546068494038957
19,0.7186862195028043,0.6264764039436597,l-IPS,CONT,0.09220981555914465
20,0.7129320235784264,0.5697272711387581,l-IPS,CONT,0.14320475243966835
21,0.7466299130008414,0.6903772142599749,l-IPS,CONT,0.05625269874086647
22,0.9007192361384981,0.805811288235222,l-IPS,CONT,0.09490794790327617
23,0.7294866415092613,0.5380055546252145,l-IPS,CONT,0.19148108688404686
24,0.6969240815824711,0.5917769322319015,l-IPS,CONT,0.10514714935056957
1,1.118009832830447,1.0445321489710144,r-IPS,CONT,0.07347768385943265
2,0.7919453102749396,0.6779976088427074,r-IPS,CONT,0.1139477014322322
3,0.9587866802801714,0.8712487904463483,r-IPS,CONT,0.08753788983382316
4,0.8489482669706427,0.6660989697570332,r-IPS,CONT,0.18284929721360954
5,0.8507012492679584,0.670051052839809,r-IPS,CONT,0.1806501964281494
6,0.9114152288013957,0.7808446165087025,r-IPS,CONT,0.13057061229269318
7,1.041003022203299,0.9266888461616315,r-IPS,CONT,0.1143141760416676
8,0.6980784090232606,0.5834525620238334,r-IPS,CONT,0.11462584699942713
9,0.7161413909727185,0.5498145028104282,r-IPS,CONT,0.16632688816229024
10,0.7838633972658675,0.6354310247999194,r-IPS,CONT,0.1484323724659481
11,0.771325958422581,0.6952890843308009,r-IPS,CONT,0.07603687409178006
12,0.8359383513243173,0.6332309108433718,r-IPS,CONT,0.20270744048094547
13,0.9741841101458157,0.8902917613139945,r-IPS,CONT,0.08389234883182128
14,0.9979130446687856,0.7843252926366293,r-IPS,CONT,0.2135877520321563
15,1.0021826445335122,0.8850451226910336,r-IPS,CONT,0.11713752184247861
16,1.015437241169842,0.9191547775603195,r-IPS,CONT,0.09628246360952253
17,0.7395025168933903,0.4858665714386592,r-IPS,CONT,0.2536359454547311
18,0.9236277329025319,0.7847890916566744,r-IPS,CONT,0.13883864124585743
19,0.8802582047219112,0.715611406436736,r-IPS,CONT,0.16464679828517514
20,0.8352782232427838,0.6400382888230962,r-IPS,CONT,0.19523993441968757
21,0.7674690889129041,0.6404815172285678,r-IPS,CONT,0.12698757168433628
22,1.1248272892392635,0.8936960811393018,r-IPS,CONT,0.23113120809996168
23,0.8488323941724141,0.7194017264385408,r-IPS,CONT,0.12943066773387324
24,0.6893813730396532,0.498686558420455,r-IPS,CONT,0.19069481461919818
1,0.48126963247591326,0.4131870176362507,PCUN,DMN,0.06808261483966255
2,0.47895345014771173,0.38592225482168463,PCUN,DMN,0.0930311953260271
3,0.4526483229903861,0.3833432860648929,PCUN,DMN,0.06930503692549322
4,0.37041842444791456,0.30691697606109203,PCUN,DMN,0.06350144838682253
5,0.20820216115086784,0.17168937977171012,PCUN,DMN,0.03651278137915773
6,0.6891182985422089,0.5859020872897356,PCUN,DMN,0.10321621125247327
7,0.3425434805610792,0.31663376283331257,PCUN,DMN,0.025909717727766624
8,0.45404891563494953,0.3894216960983572,PCUN,DMN,0.06462721953659234
9,0.2502263849523271,0.200587930393519,PCUN,DMN,0.04963845455880808
10,0.5418147328876199,0.4673782539957604,PCUN,DMN,0.07443647889185956
11,0.5289569961228529,0.4540844029780486,PCUN,DMN,0.07487259314480427
12,0.5704091507773679,0.5232428596095384,PCUN,DMN,0.047166291167829444
13,0.5671931957396779,0.5243588792961692,PCUN,DMN,0.04283431644350866
14,0.6872268359445024,0.5590120510588534,PCUN,DMN,0.12821478488564897
15,0.41698551625286817,0.27500814426412423,PCUN,DMN,0.14197737198874394
16,0.6033087816072116,0.5658215062869141,PCUN,DMN,0.0374872753202975
17,0.4241535885266777,0.17401279611491458,PCUN,DMN,0.2501407924117631
18,0.6907403081742478,0.5651804921158712,PCUN,DMN,0.12555981605837663
19,0.503691941147691,0.34336083269134826,PCUN,DMN,0.16033110845634274
20,0.5651865879432539,0.4850707442363886,PCUN,DMN,0.08011584370686536
21,0.4583326305244738,0.3432166320918458,PCUN,DMN,0.11511599843262804
22,0.5446730744629142,0.4199302727467341,PCUN,DMN,0.12474280171618013
23,0.3096245217156519,0.22470845505849232,PCUN,DMN,0.08491606665715959
24,0.6034338451981315,0.5269518982459522,PCUN,DMN,0.07648194695217925
