sub_id,within_state_ps,between_state_ps,cluster,cluster_type,task_index
7,0.647813855388992,0.6636835236314542,mPFC,DMN,-0.015869668242462165
7,0.5925184295111638,0.5931230463093357,r-IPL,DMN,-0.0006046167981718087
7,0.692279132064413,0.6986625424168849,RSC1,RSC,-0.006383410352471808
7,0.7763128447062455,0.7787311934121883,l-IPS,CONT,-0.002418348705942819
7,0.750604333395475,0.7581999482760653,r-IPS,CONT,-0.00759561488059024
7,0.7456588142899094,0.7539559087286263,PCUN,DMN,-0.008297094438716845
7,0.7925673877749071,0.7890740334329363,l-IPL1,DMN,0.0034933543419708446
7,0.7544211898834273,0.7506641852869207,r-PFC,CONT,0.00375700459650663
7,0.8441367977096145,0.842499631654392,l-PFC1,CONT,0.001637166055222461
7,0.8539510262966508,0.882628799333513,PCC,DMN,-0.028677773036862253
7,0.7582447571485706,0.7393037866860286,RSC2,RSC,0.01894097046254206
7,0.7369389878241169,0.7376449154310883,SFG,CONT,-0.0007059276069714127
7,0.8671933835903888,0.8783828753042087,l-PFC2,CONT,-0.011189491713819888
7,0.679924188483617,0.6656501613494035,MTG,DMN,0.014274027134213552
7,0.7887071415770528,0.8010545176104182,l-IPL2,DMN,-0.012347376033365443
7,0.7168200312102696,0.7142126434939013,r-ITG,CONT,0.002607387716368259
8,0.8537622471244481,0.845101536707479,mPFC,DMN,0.008660710416969142
8,0.5674592848693276,0.5849654271198879,r-IPL,DMN,-0.01750614225056024
8,0.7399529565514253,0.7307850721422813,RSC1,RSC,0.009167884409144067
8,0.9151182431936703,0.9047074181106821,l-IPS,CONT,0.010410825082988184
8,0.885089339338649,0.8817918292155471,r-IPS,CONT,0.0032975101231018655
8,0.7056085069234084,0.7048991354962673,PCUN,DMN,0.0007093714271411145
8,0.5989203678452951,0.5833509453542474,l-IPL1,DMN,0.015569422491047757
8,0.7910945890645651,0.7734440353172116,r-PFC,CONT,0.01765055374735347
8,0.8459651816121541,0.8268008162649527,l-PFC1,CONT,0.01916436534720134
8,0.7363578018434995,0.7265849055995335,PCC,DMN,0.009772896243966045
8,0.7436483799791334,0.7223239049060547,RSC2,RSC,0.021324475073078664
8,0.6804398177985997,0.641525014563103,SFG,CONT,0.03891480323549679
8,0.6919257066250608,0.6712545725495351,l-PFC2,CONT,0.020671134075525677
8,0.8025206726521494,0.8022694831080324,MTG,DMN,0.00025118954411706973
8,0.7483730002292829,0.7612814334859408,l-IPL2,DMN,-0.012908433256657914
8,0.8292017044937294,0.8264516324726277,r-ITG,CONT,0.0027500720211017793
9,0.8638658138318684,0.8369011016734584,mPFC,DMN,0.02696471215841001
9,0.603028475034224,0.6077827076826983,r-IPL,DMN,-0.004754232648474299
9,0.6267488123929119,0.6454894269565661,RSC1,RSC,-0.018740614563654168
9,0.8171475063317764,0.8330071710016418,l-IPS,CONT,-0.015859664669865436
9,0.7251244371443659,0.7230421014073177,r-IPS,CONT,0.002082335737048191
9,0.7115690371266183,0.7224671518621488,PCUN,DMN,-0.010898114735530484
9,0.6444806922774282,0.6351456192581908,l-IPL1,DMN,0.009335073019237417
9,0.6716133831937658,0.680685871526912,r-PFC,CONT,-0.009072488333146111
9,0.7535294078554016,0.7425483013083551,l-PFC1,CONT,0.010981106547046426
9,0.7303467156140353,0.7429487029459154,PCC,DMN,-0.012601987331880116
9,0.7335837452583065,0.7567110554317877,RSC2,RSC,-0.02312731017348124
9,0.7011211722703303,0.6738515617968523,SFG,CONT,0.02726961047347798
9,0.7666066617271678,0.757665048049097,l-PFC2,CONT,0.008941613678070892
9,0.7316697177346239,0.721475612962167,MTG,DMN,0.010194104772456858
9,0.7128514209906771,0.717549232166556,l-IPL2,DMN,-0.004697811175878863
9,0.8100919255002613,0.8116283695843702,r-ITG,CONT,-0.0015364440841089122
10,0.8440552509157841,0.8403358696089391,mPFC,DMN,0.0037193813068450154
10,0.6353775689604362,0.6301626969545132,r-IPL,DMN,0.005214872005922966
10,0.807012348094289,0.7814865258716499,RSC1,RSC,0.025525822222639105
10,0.7219577907840886,0.7327003395898539,l-IPS,CONT,-0.010742548805765306
10,0.7859946598448795,0.7854556831261275,r-IPS,CONT,0.0005389767187520267
10,0.6837887366613868,0.6966067843931197,PCUN,DMN,-0.012818047731732896
10,0.7275869317760322,0.7039906565316658,l-IPL1,DMN,0.02359627524436636
10,0.8547760516572696,0.8555239834940811,r-PFC,CONT,-0.000747931836811544
10,0.7399656894235229,0.7508620371795689,l-PFC1,CONT,-0.010896347756045976
10,0.6512717998717068,0.6699736653708415,PCC,DMN,-0.018701865499134662
10,0.7900182572813618,0.7989923259399931,RSC2,RSC,-0.008974068658631373
10,0.6781359908206854,0.684116716469747,SFG,CONT,-0.005980725649061602
10,0.7823224244505327,0.7828189850953531,l-PFC2,CONT,-0.0004965606448203985
10,0.7581601408983383,0.7549791650939071,MTG,DMN,0.0031809758044312186
10,0.7736876530836833,0.7586313776315508,l-IPL2,DMN,0.015056275452132506
10,0.7132401294637555,0.6960075407103619,r-ITG,CONT,0.01723258875339362
11,0.8827953121606926,0.8891910840713062,mPFC,DMN,-0.006395771910613579
11,0.6800516710676017,0.6519106950115673,r-IPL,DMN,0.028140976056034384
11,0.685106028219627,0.6640798149156806,RSC1,RSC,0.021026213303946384
11,0.9174941444263961,0.9318297612562365,l-IPS,CONT,-0.014335616829840414
11,0.9984437475025991,0.9807126313167023,r-IPS,CONT,0.017731116185896845
11,0.743968129985604,0.7446036910089766,PCUN,DMN,-0.0006355610233725884
11,0.6952621653909303,0.6837938164535723,l-IPL1,DMN,0.011468348937358042
11,0.9036507356961436,0.9110279254206737,r-PFC,CONT,-0.007377189724530053
11,1.1007675022823675,1.0923997027097547,l-PFC1,CONT,0.0083677995726128
11,0.9417568587111664,0.9355840415579423,PCC,DMN,0.006172817153224153
11,0.7806249336904711,0.7900813428512281,RSC2,RSC,-0.009456409160756962
11,0.6915261728108013,0.7293128627621659,SFG,CONT,-0.03778668995136458
11,0.7649011058616761,0.7838035886830841,l-PFC2,CONT,-0.01890248282140794
11,0.922258524383573,0.906256603346687,MTG,DMN,0.016001921036886024
11,0.973006446007195,0.956105737140902,l-IPL2,DMN,0.016900708866293024
11,0.8911940788530608,0.8792502347295617,r-ITG,CONT,0.011943844123499137
12,0.7474836662000408,0.7226635461339188,mPFC,DMN,0.024820120066121998
12,0.5676506315790797,0.5856783663768571,r-IPL,DMN,-0.018027734797777417
12,0.6983112350420879,0.6900800466212338,RSC1,RSC,0.00823118842085413
12,0.6432550997384489,0.6213330404540287,l-IPS,CONT,0.021922059284420148
12,0.7641724540691812,0.7607726126421628,r-IPS,CONT,0.003399841427018435
12,0.7452182909143206,0.7245348715189446,PCUN,DMN,0.02068341939537599
12,0.6902469735485649,0.6677959755170246,l-IPL1,DMN,0.02245099803154027
12,0.7484399723811614,0.7162231213581557,r-PFC,CONT,0.032216851023005755
12,0.783166839197313,0.7742128707217428,l-PFC1,CONT,0.008953968475570173
12,0.7832126940937583,0.7787125546253452,PCC,DMN,0.0045001394684131
12,0.8342091154859698,0.831959902147113,RSC2,RSC,0.002249213338856748
12,0.6909031325962001,0.6719410563171819,SFG,CONT,0.018962076279018136
12,0.8425610897161964,0.8290709181518836,l-PFC2,CONT,0.013490171564312758
12,0.7692947335224738,0.7599918382872946,MTG,DMN,0.009302895235179243
12,0.8361716437577069,0.8364158681016514,l-IPL2,DMN,-0.0002442243439444436
12,0.7279556671296067,0.7267476795123484,r-ITG,CONT,0.001207987617258266
13,0.6211771946112579,0.6181464052646114,mPFC,DMN,0.0030307893466464675
13,0.5340820543139038,0.5402063535437291,r-IPL,DMN,-0.006124299229825381
13,0.6671268870277602,0.6512374335987979,RSC1,RSC,0.015889453428962308
13,0.6832682255552722,0.6745223779210278,l-IPS,CONT,0.008745847634244464
13,0.666464353481069,0.6712158079416235,r-IPS,CONT,-0.004751454460554472
13,0.5529323246180182,0.5591384248383351,PCUN,DMN,-0.006206100220316868
13,0.6242032105478277,0.6275890409100024,l-IPL1,DMN,-0.0033858303621747687
13,0.6575423488395294,0.6225539147069984,r-PFC,CONT,0.034988434132531054
13,0.7087164011220785,0.6931432875053579,l-PFC1,CONT,0.015573113616720535
13,0.676399433088177,0.6799775722731679,PCC,DMN,-0.003578139184990947
13,0.7264948502865298,0.7144037148017715,RSC2,RSC,0.012091135484758375
13,0.731125114152449,0.7227635431900388,SFG,CONT,0.008361570962410192
13,0.7274008713537037,0.7045901757955646,l-PFC2,CONT,0.022810695558139082
13,0.6687882085998054,0.6777336169615868,MTG,DMN,-0.008945408361781482
13,0.6240013612157059,0.6228123740558305,l-IPL2,DMN,0.0011889871598754764
13,0.6875269645680869,0.6800382179839928,r-ITG,CONT,0.0074887465840941525
14,0.7660313431414145,0.7678043984518503,mPFC,DMN,-0.0017730553104358115
14,0.703794803492348,0.6968829266809586,r-IPL,DMN,0.006911876811389384
14,0.7809529275867639,0.7795561363461302,RSC1,RSC,0.0013967912406337435
14,0.877028082171212,0.891717618806416,l-IPS,CONT,-0.014689536635204004
14,0.8837031350194193,0.9099758541946809,r-IPS,CONT,-0.026272719175261527
14,0.7136133689915864,0.7020785662863503,PCUN,DMN,0.011534802705236102
14,0.6202204372722335,0.6394390627613491,l-IPL1,DMN,-0.01921862548911557
14,0.7725882829824136,0.7528775226277791,r-PFC,CONT,0.019710760354634482
14,0.872128437892264,0.8447804400988934,l-PFC1,CONT,0.027347997793370604
14,0.8459707104533456,0.8493758598392338,PCC,DMN,-0.0034051493858882065
14,0.8477692505999521,0.7980034885252455,RSC2,RSC,0.04976576207470662
14,0.6669478091563714,0.6617441084159998,SFG,CONT,0.005203700740371575
14,0.7283117851969425,0.731085352693503,l-PFC2,CONT,-0.0027735674965605472
14,0.853343439466437,0.8696840599032845,MTG,DMN,-0.016340620436847475
14,0.815469773550868,0.7999040366537451,l-IPL2,DMN,0.015565736897122928
14,0.8958390240433122,0.895062983176394,r-ITG,CONT,0.0007760408669181817
15,0.832413655388959,0.7777962692596474,mPFC,DMN,0.05461738612931155
15,0.5336258456852958,0.5101371595852568,r-IPL,DMN,0.023488686100038958
15,0.7325828917351711,0.706082285583423,RSC1,RSC,0.026500606151748096
15,0.7994827249373728,0.7832422065679552,l-IPS,CONT,0.016240518369417645
15,0.7719226179927275,0.750366499480893,r-IPS,CONT,0.021556118511834588
15,0.7113280890937919,0.6992964023945671,PCUN,DMN,0.01203168669922472
15,0.7775669979459212,0.7752854468419055,l-IPL1,DMN,0.0022815511040157332
15,0.783049514953482,0.7601263611623272,r-PFC,CONT,0.022923153791154727
15,0.7835737006762669,0.7772185337248209,l-PFC1,CONT,0.006355166951446001
15,0.7951082982660207,0.7300501336750003,PCC,DMN,0.06505816459102043
15,0.7680906569811861,0.7439012202608029,RSC2,RSC,0.024189436720383206
15,0.7586010648891877,0.7373384649926208,SFG,CONT,0.02126259989656687
15,0.8791760969127232,0.8717185255998772,l-PFC2,CONT,0.0074575713128460785
15,0.7499361711427458,0.737516988328786,MTG,DMN,0.012419182813959817
15,0.7542147935905292,0.7164808532173129,l-IPL2,DMN,0.03773394037321631
15,0.7712030960165517,0.769376622083608,r-ITG,CONT,0.001826473932943662
16,0.65486402875092,0.6598515092210246,mPFC,DMN,-0.004987480470104666
16,0.5886315208575829,0.5608407684298364,r-IPL,DMN,0.027790752427746424
16,0.6505495521589626,0.6581968451116456,RSC1,RSC,-0.00764729295268296
16,0.7353065011006135,0.7491367506700384,l-IPS,CONT,-0.013830249569424913
16,0.703599728820095,0.6920666315141506,r-IPS,CONT,0.011533097305944429
