,sub_id,within_state_ps,between_state_ps,cluster,cluster_type,visual_index
74,5,0.683923867323357,0.6693028211466321,RSC2,RSC,0.014621046176724883
75,5,0.7807499999714924,0.7700301660801185,SFG,CONT,0.010719833891373876
76,5,0.7719507462953838,0.7614584003586415,l-PFC2,CONT,0.010492345936742309
77,5,0.7187673949529294,0.722030190754344,MTG,DMN,-0.003262795801414642
78,5,0.7252402005537062,0.7113303073589048,l-IPL2,DMN,0.013909893194801404
79,5,0.8398806479520866,0.8328238378409578,r-ITG,CONT,0.007056810111128797
80,6,0.7589359429831517,0.7809354988647828,mPFC,DMN,-0.02199955588163105
81,6,0.6386717018530838,0.6582879889448904,r-IPL,DMN,-0.019616287091806628
82,6,0.7073716288894545,0.7103452172164384,RSC1,RSC,-0.0029735883269839114
83,6,0.7657146434282949,0.7561040641057588,l-IPS,CONT,0.009610579322536061
84,6,0.7510188086873427,0.730852225113165,r-IPS,CONT,0.020166583574177666
85,6,0.7221801233938323,0.7269800152810244,PCUN,DMN,-0.004799891887192098
86,6,0.669129631831656,0.6626864329483674,l-IPL1,DMN,0.006443198883288592
87,6,0.7224760993570991,0.7270287716718058,r-PFC,CONT,-0.004552672314706685
88,6,0.7983754047857585,0.8062332976957232,l-PFC1,CONT,-0.007857892909964637
89,6,0.758077755495911,0.7191877881515375,PCC,DMN,0.038889967344373555
90,6,0.6930266513893415,0.6688187033099886,RSC2,RSC,0.024207948079352892
91,6,0.6854441877404047,0.6859323628285076,SFG,CONT,-0.00048817508810283794
92,6,0.7829898607454349,0.7679735968574413,l-PFC2,CONT,0.015016263887993597
93,6,0.7363486288267658,0.744031111250685,MTG,DMN,-0.0076824824239192235
94,6,0.6641925999815864,0.6505100410351431,l-IPL2,DMN,0.013682558946443324
95,6,0.7576527581284184,0.7640245639075616,r-ITG,CONT,-0.0063718057791432026
96,7,0.6972495700084851,0.6900344127997337,mPFC,DMN,0.007215157208751433
97,7,0.5962321089019424,0.56216239655268,r-IPL,DMN,0.03406971234926248
98,7,0.76354097299747,0.741623551112744,RSC1,RSC,0.021917421884726007
99,7,0.7493869857460793,0.7551687228837303,l-IPS,CONT,-0.005781737137650955
100,7,0.7224642789404334,0.7334996178647979,r-IPS,CONT,-0.01103533892436448
101,7,0.7508184277074155,0.742221820347452,PCUN,DMN,0.008596607359963482
102,7,0.7543130536686109,0.7235141477098217,l-IPL1,DMN,0.030798905958789202
103,7,0.7433465274983593,0.753478066581063,r-PFC,CONT,-0.0101315390827037
104,7,0.8250108442580271,0.8151615259718936,l-PFC1,CONT,0.009849318286133446
105,7,0.8345311825506148,0.8222960981468839,PCC,DMN,0.01223508440373089
106,7,0.801348379858505,0.7779929538939685,RSC2,RSC,0.023355425964536547
107,7,0.7653698301709912,0.7479808766445064,SFG,CONT,0.01738895352648484
108,7,0.8612699133269839,0.8468869339517966,l-PFC2,CONT,0.014382979375187288
109,7,0.6704417759462034,0.6544015992910222,MTG,DMN,0.016040176655181204
110,7,0.7520953790808517,0.7605908418345452,l-IPL2,DMN,-0.008495462753693506
111,7,0.7139685687813986,0.7189615113343064,r-ITG,CONT,-0.004992942552907831
112,8,0.8722379670227729,0.8749883971843065,mPFC,DMN,-0.0027504301615336457
113,8,0.5932577924796247,0.5885468286040998,r-IPL,DMN,0.004710963875524943
114,8,0.7617826538349373,0.7458185692359851,RSC1,RSC,0.015964084598952155
115,8,0.9088150201141899,0.9125106569170709,l-IPS,CONT,-0.003695636802880986
116,8,0.8505382883932876,0.8320292003257859,r-IPS,CONT,0.018509088067501733
117,8,0.7090975611547248,0.7057612782652934,PCUN,DMN,0.00333628288943133
118,8,0.5733646794436185,0.5951016898809662,l-IPL1,DMN,-0.02173701043734777
119,8,0.7872165196124365,0.7808089390467059,r-PFC,CONT,0.006407580565730653
120,8,0.8720303276243826,0.8653047202841575,l-PFC1,CONT,0.006725607340225093
121,8,0.7765911037802131,0.7872987986614517,PCC,DMN,-0.010707694881238572
122,8,0.7513328464038358,0.7249127521664427,RSC2,RSC,0.02642009423739311
123,8,0.6938481653082371,0.6733862005636719,SFG,CONT,0.020461964744565186
124,8,0.6960584316675371,0.6552793879508594,l-PFC2,CONT,0.04077904371667773
125,8,0.7900308605308786,0.7716517187989387,MTG,DMN,0.018379141731939885
126,8,0.7492036928374324,0.7244393999343455,l-IPL2,DMN,0.024764292903086904
127,8,0.8530245131283922,0.8460236187610379,r-ITG,CONT,0.007000894367354293
128,9,0.8118610196812318,0.8243679788720915,mPFC,DMN,-0.012506959190859646
129,9,0.6084072035135406,0.6113532121329173,r-IPL,DMN,-0.002946008619376661
130,9,0.6256714266563959,0.6298003278990425,RSC1,RSC,-0.004128901242646643
131,9,0.7823424699025356,0.7765617233451112,l-IPS,CONT,0.005780746557424443
132,9,0.7261340062146455,0.7150329820954529,r-IPS,CONT,0.01110102411919267
133,9,0.6969098815605423,0.6952063016210316,PCUN,DMN,0.0017035799395107576
134,9,0.5676885349957868,0.578709834513832,l-IPL1,DMN,-0.011021299518045202
135,9,0.7166749988857721,0.721759381440694,r-PFC,CONT,-0.005084382554921829
136,9,0.700794842813482,0.698381680786496,l-PFC1,CONT,0.0024131620269860488
137,9,0.7029524228036097,0.7118493621615295,PCC,DMN,-0.008896939357919798
138,9,0.7290841652032038,0.6935360303995942,RSC2,RSC,0.03554813480360963
139,9,0.7058609654105312,0.7030039083597805,SFG,CONT,0.0028570570507506776
140,9,0.7353226800347976,0.7406523360600911,l-PFC2,CONT,-0.00532965602529345
141,9,0.7414062332047731,0.7484105793869037,MTG,DMN,-0.0070043461821306385
142,9,0.7280191625496699,0.7454004687488363,l-IPL2,DMN,-0.017381306199166335
143,9,0.8135714751465831,0.8106899836397973,r-ITG,CONT,0.0028814915067858493
144,10,0.8156531740428793,0.8148825719457706,mPFC,DMN,0.0007706020971086636
145,10,0.6377176679455192,0.6391375318514845,r-IPL,DMN,-0.0014198639059652685
146,10,0.7947708573724606,0.7743962866457323,RSC1,RSC,0.020374570726728214
147,10,0.7467460265144844,0.7317075501831383,l-IPS,CONT,0.01503847633134614
148,10,0.763295929893135,0.7546544945947348,r-IPS,CONT,0.008641435298400224
149,10,0.666897077734748,0.687081096666806,PCUN,DMN,-0.0201840189320579
150,10,0.7283981667807594,0.7005954927514875,l-IPL1,DMN,0.027802674029271945
151,10,0.8351787628227862,0.8359788076777243,r-PFC,CONT,-0.000800044854938009
152,10,0.771958191789117,0.7659998618447288,l-PFC1,CONT,0.005958329944388163
153,10,0.6128038631413799,0.6222071505317376,PCC,DMN,-0.009403287390357673
154,10,0.7723085441709281,0.7781039660091156,RSC2,RSC,-0.005795421838187487
155,10,0.6692138285304614,0.6728157150106808,SFG,CONT,-0.0036018864802194184
156,10,0.7525860476748905,0.7500152533733702,l-PFC2,CONT,0.002570794301520296
157,10,0.7106011763733169,0.7180479408303508,MTG,DMN,-0.007446764457033961
158,10,0.740445636121223,0.7342469148563684,l-IPL2,DMN,0.006198721264854656
159,10,0.6938985378539139,0.6877694004291781,r-ITG,CONT,0.006129137424735753
160,11,0.7893980681089994,0.7874625824907038,mPFC,DMN,0.001935485618295596
161,11,0.593562996313178,0.5846471872523035,r-IPL,DMN,0.008915809060874524
162,11,0.6798052412284189,0.6643306931832567,RSC1,RSC,0.01547454804516224
163,11,0.907881356410252,0.8459011461594526,l-IPS,CONT,0.06198021025079947
164,11,0.932833480360912,0.8697802919900852,r-IPS,CONT,0.06305318837082674
165,11,0.6589470539763489,0.6796756634201002,PCUN,DMN,-0.020728609443751322
166,11,0.6784770631277295,0.6564501717057958,l-IPL1,DMN,0.022026891421933703
167,11,0.8327641767006433,0.8141070250515823,r-PFC,CONT,0.01865715164906101
168,11,1.0320279387776203,1.0040658196554726,l-PFC1,CONT,0.027962119122147744
169,11,0.8682236344501986,0.8584132495734338,PCC,DMN,0.009810384876764777
170,11,0.762216906971769,0.7405838375241631,RSC2,RSC,0.0216330694476059
171,11,0.6402026400903273,0.6452999501165174,SFG,CONT,-0.005097310026190072
172,11,0.7504083542095425,0.7229958253598272,l-PFC2,CONT,0.027412528849715345
173,11,0.8294330544086073,0.8541247451960325,MTG,DMN,-0.02469169078742528
174,11,0.8783214647294184,0.8697535419927273,l-IPL2,DMN,0.008567922736691158
175,11,0.8613138620878633,0.8422578235461247,r-ITG,CONT,0.01905603854173865
176,12,0.6773992459127056,0.669771179626621,mPFC,DMN,0.007628066286084589
177,12,0.5901166946678971,0.5799937896901253,r-IPL,DMN,0.010122904977771796
178,12,0.7203631270410306,0.7172228766171879,RSC1,RSC,0.0031402504238426943
179,12,0.668129548731353,0.6849962312214071,l-IPS,CONT,-0.016866682490054075
180,12,0.7316114538027327,0.7472627431177807,r-IPS,CONT,-0.015651289315048
181,12,0.6896123250524184,0.6842069336903452,PCUN,DMN,0.005405391362073186
182,12,0.6443037123351597,0.6486850764206826,l-IPL1,DMN,-0.004381364085522921
183,12,0.7240807683767965,0.7257276596650177,r-PFC,CONT,-0.0016468912882212638
184,12,0.7217188658793334,0.7391784187718635,l-PFC1,CONT,-0.017459552892530095
185,12,0.7111975437076059,0.6903278347583889,PCC,DMN,0.020869708949217025
186,12,0.817663092586536,0.818153185999855,RSC2,RSC,-0.0004900934133189594
187,12,0.6886082114716371,0.6741751843631711,SFG,CONT,0.014433027108465946
188,12,0.8178641149357548,0.8398759708367521,l-PFC2,CONT,-0.0220118559009973
189,12,0.7383115449209053,0.7235896702323728,MTG,DMN,0.014721874688532588
190,12,0.7638331440593729,0.771032078327655,l-IPL2,DMN,-0.007198934268282109
191,12,0.689732425410098,0.6934992355915548,r-ITG,CONT,-0.003766810181456748
192,13,0.6680252910124851,0.6623702415818543,mPFC,DMN,0.005655049430630776
193,13,0.5837320446701635,0.5813666593171573,r-IPL,DMN,0.002365385353006233
194,13,0.7035345597986387,0.7090749892502288,RSC1,RSC,-0.0055404294515901675
195,13,0.7161384254375838,0.7333961119823873,l-IPS,CONT,-0.01725768654480353
196,13,0.6921213039801246,0.6998685005018199,r-IPS,CONT,-0.00774719652169531
197,13,0.5540852985244786,0.5481432598908829,PCUN,DMN,0.00594203863359577
198,13,0.6181721509538183,0.6228626038050321,l-IPL1,DMN,-0.004690452851213833
199,13,0.720497373877597,0.7498151857605264,r-PFC,CONT,-0.029317811882929368
200,13,0.7367499747351176,0.7565622590920617,l-PFC1,CONT,-0.019812284356944043
201,13,0.678093453044526,0.6596812890702043,PCC,DMN,0.01841216397432166
202,13,0.7692199133646258,0.7854142850609862,RSC2,RSC,-0.0161943716963604
203,13,0.7532595471245085,0.7704476359263921,SFG,CONT,-0.017188088801883605
