,subject_id,epoch_conf,top_n_mask,condition
172,5,-0.14405769,top_100,ret_per_clf
173,5,-0.3147482,top_100,ret_per_clf
174,5,0.30710245,top_100,ret_per_clf
175,5,-0.28393963,top_100,ret_per_clf
176,5,0.75934449,top_100,ret_per_clf
177,5,0.06695212,top_100,ret_per_clf
178,5,0.36688408,top_100,ret_per_clf
179,5,1.51877049,top_100,ret_per_clf
180,5,1.09543488,top_100,ret_per_clf
181,5,0.63826172,top_100,ret_per_clf
182,5,1.40878426,top_100,ret_per_clf
183,5,0.28964969,top_100,ret_per_clf
184,5,1.19005806,top_100,ret_per_clf
185,5,-1.07382549,top_100,ret_per_clf
186,5,-0.17783411,top_100,ret_per_clf
187,5,-0.35306806,top_100,ret_per_clf
188,5,0.98634543,top_100,ret_per_clf
189,5,0.97231509,top_100,ret_per_clf
190,5,0.80620802,top_100,ret_per_clf
191,5,0.21517799,top_100,ret_per_clf
192,6,-1.25303047,top_100,ret_per_clf
193,6,1.40236788,top_100,ret_per_clf
194,6,-1.00830136,top_100,ret_per_clf
195,6,1.85744964,top_100,ret_per_clf
196,6,0.33599187,top_100,ret_per_clf
197,6,-0.86398032,top_100,ret_per_clf
198,6,-0.99579213,top_100,ret_per_clf
199,6,-0.40390559,top_100,ret_per_clf
200,6,-0.23143781,top_100,ret_per_clf
201,6,-1.36837432,top_100,ret_per_clf
202,6,-0.29109233,top_100,ret_per_clf
203,6,-0.42926458,top_100,ret_per_clf
204,6,-0.23597104,top_100,ret_per_clf
205,6,-0.5170495,top_100,ret_per_clf
206,6,-1.66874799,top_100,ret_per_clf
207,6,0.89961418,top_100,ret_per_clf
208,6,-1.02009014,top_100,ret_per_clf
209,6,-0.9496885,top_100,ret_per_clf
210,6,0.48763796,top_100,ret_per_clf
211,6,0.65512456,top_100,ret_per_clf
212,6,1.6857292,top_100,ret_per_clf
213,6,1.33309371,top_100,ret_per_clf
214,6,1.74225133,top_100,ret_per_clf
215,6,-0.41010181,top_100,ret_per_clf
216,6,0.94430848,top_100,ret_per_clf
217,6,0.36655628,top_100,ret_per_clf
218,6,0.06929408,top_100,ret_per_clf
219,6,0.15618913,top_100,ret_per_clf
220,6,-1.37962074,top_100,ret_per_clf
221,6,0.41083605,top_100,ret_per_clf
222,6,-0.06069268,top_100,ret_per_clf
223,6,0.09549093,top_100,ret_per_clf
224,7,1.22616875,top_100,ret_per_clf
225,7,-0.39371599,top_100,ret_per_clf
226,7,-0.09120731,top_100,ret_per_clf
227,7,-0.19861772,top_100,ret_per_clf
228,7,-0.10670397,top_100,ret_per_clf
229,7,-0.07082255,top_100,ret_per_clf
230,7,0.54849596,top_100,ret_per_clf
231,7,-0.63893248,top_100,ret_per_clf
232,7,0.02969895,top_100,ret_per_clf
233,7,-0.46427036,top_100,ret_per_clf
234,7,-0.33602004,top_100,ret_per_clf
235,7,0.33968309,top_100,ret_per_clf
236,7,-0.90430821,top_100,ret_per_clf
237,7,0.13560004,top_100,ret_per_clf
238,7,0.34620064,top_100,ret_per_clf
239,7,-0.24411691,top_100,ret_per_clf
240,7,-0.30527963,top_100,ret_per_clf
241,7,0.2917574,top_100,ret_per_clf
242,7,-1.12516983,top_100,ret_per_clf
243,7,-1.64356711,top_100,ret_per_clf
244,7,-1.25864162,top_100,ret_per_clf
245,7,0.56994453,top_100,ret_per_clf
246,7,-0.5125171,top_100,ret_per_clf
247,7,0.44677508,top_100,ret_per_clf
248,7,1.0046704,top_100,ret_per_clf
249,7,0.57696271,top_100,ret_per_clf
250,7,0.85495557,top_100,ret_per_clf
251,7,-0.0455376,top_100,ret_per_clf
252,7,-0.33902749,top_100,ret_per_clf
253,7,0.92441364,top_100,ret_per_clf
254,7,0.90676858,top_100,ret_per_clf
255,7,0.39380505,top_100,ret_per_clf
256,8,-0.90788624,top_100,ret_per_clf
257,8,-0.19525815,top_100,ret_per_clf
258,8,-1.49569568,top_100,ret_per_clf
259,8,0.09403266,top_100,ret_per_clf
260,8,-0.42857018,top_100,ret_per_clf
261,8,0.09933949,top_100,ret_per_clf
262,8,-0.85278899,top_100,ret_per_clf
263,8,0.67133522,top_100,ret_per_clf
264,8,-0.39610199,top_100,ret_per_clf
265,8,0.94358552,top_100,ret_per_clf
266,8,-0.51272776,top_100,ret_per_clf
267,8,0.48949435,top_100,ret_per_clf
268,8,1.13469632,top_100,ret_per_clf
269,8,0.12830022,top_100,ret_per_clf
270,8,1.40851102,top_100,ret_per_clf
271,8,0.08284243,top_100,ret_per_clf
272,8,-0.67773444,top_100,ret_per_clf
273,8,-0.62106893,top_100,ret_per_clf
274,8,-0.19546732,top_100,ret_per_clf
275,8,-0.13534142,top_100,ret_per_clf
276,8,-0.06962864,top_100,ret_per_clf
277,8,0.6505382,top_100,ret_per_clf
278,8,0.02241484,top_100,ret_per_clf
279,8,0.30513009,top_100,ret_per_clf
280,8,0.00495066,top_100,ret_per_clf
281,8,0.21511009,top_100,ret_per_clf
282,8,0.18420486,top_100,ret_per_clf
283,8,0.02937956,top_100,ret_per_clf
284,8,-0.73143711,top_100,ret_per_clf
285,8,0.17357395,top_100,ret_per_clf
286,8,0.37554366,top_100,ret_per_clf
287,8,-0.20374315,top_100,ret_per_clf
288,9,-0.46344056,top_100,ret_per_clf
289,9,0.21279392,top_100,ret_per_clf
290,9,0.07386254,top_100,ret_per_clf
291,9,-1.36778579,top_100,ret_per_clf
292,9,1.15378205,top_100,ret_per_clf
293,9,-0.31198555,top_100,ret_per_clf
294,9,-0.54150524,top_100,ret_per_clf
295,9,1.10109066,top_100,ret_per_clf
296,9,-0.64069414,top_100,ret_per_clf
297,9,-0.56116011,top_100,ret_per_clf
298,9,0.28019079,top_100,ret_per_clf
299,9,-0.25482771,top_100,ret_per_clf
300,9,-0.64126976,top_100,ret_per_clf
301,9,0.734525,top_100,ret_per_clf
302,9,-0.442034,top_100,ret_per_clf
303,9,-0.0867628,top_100,ret_per_clf
304,9,-0.79735615,top_100,ret_per_clf
305,9,0.62043017,top_100,ret_per_clf
306,9,-0.18606366,top_100,ret_per_clf
307,9,-0.25356818,top_100,ret_per_clf
308,9,-0.20217209,top_100,ret_per_clf
309,9,-1.42571966,top_100,ret_per_clf
310,9,0.80215878,top_100,ret_per_clf
311,9,0.64124593,top_100,ret_per_clf
312,9,0.25116591,top_100,ret_per_clf
313,9,1.03262888,top_100,ret_per_clf
314,9,0.93303663,top_100,ret_per_clf
315,9,-0.20857841,top_100,ret_per_clf
316,9,-0.32258553,top_100,ret_per_clf
317,9,0.51782198,top_100,ret_per_clf
318,9,-0.35646762,top_100,ret_per_clf
319,9,0.33786169,top_100,ret_per_clf
320,10,-0.23100192,top_100,ret_per_clf
321,10,-0.22174505,top_100,ret_per_clf
322,10,-2.18801221,top_100,ret_per_clf
323,10,0.11536562,top_100,ret_per_clf
324,10,0.87792385,top_100,ret_per_clf
325,10,0.16404096,top_100,ret_per_clf
326,10,-1.03495888,top_100,ret_per_clf
327,10,-1.03233727,top_100,ret_per_clf
328,10,-0.36402579,top_100,ret_per_clf
329,10,0.53337963,top_100,ret_per_clf
330,10,-0.60904655,top_100,ret_per_clf
