,subject_id,epoch_conf,top_n_mask,condition
180,2,0.35130606,top_100,retper
181,2,1.10820562,top_100,retper
182,2,-1.87376283,top_100,retper
183,2,1.73692602,top_100,retper
184,2,5.20086821,top_100,retper
185,2,0.72542621,top_100,retper
186,2,3.45814676,top_100,retper
187,2,4.55758781,top_100,retper
188,2,-0.34849964,top_100,retper
189,2,2.92634284,top_100,retper
190,2,2.4749957,top_100,retper
191,2,2.69404372,top_100,retper
192,7,-1.13069064,top_100,retper
193,7,-0.89409831,top_100,retper
194,7,-2.74406898,top_100,retper
195,7,-0.46070594,top_100,retper
196,7,-1.83176725,top_100,retper
197,7,-1.29373994,top_100,retper
198,7,-2.77973823,top_100,retper
199,7,-0.94737206,top_100,retper
200,7,1.62851049,top_100,retper
201,7,-0.30079816,top_100,retper
202,7,-1.39330517,top_100,retper
203,7,0.07294015,top_100,retper
204,7,0.15022593,top_100,retper
205,7,-0.91777222,top_100,retper
206,7,-0.30566767,top_100,retper
207,7,-1.47989665,top_100,retper
208,7,1.22088622,top_100,retper
209,7,1.35803993,top_100,retper
210,7,4.8017418,top_100,retper
211,7,-1.46167164,top_100,retper
212,7,-1.00437606,top_100,retper
213,7,-0.15697749,top_100,retper
214,7,-3.50036963,top_100,retper
215,7,2.76054791,top_100,retper
216,7,-2.35476488,top_100,retper
217,7,2.50211544,top_100,retper
218,7,1.6419302,top_100,retper
219,7,1.72173323,top_100,retper
220,7,0.21959605,top_100,retper
221,7,0.56984604,top_100,retper
222,7,2.39711402,top_100,retper
223,7,1.63119791,top_100,retper
224,4,-7.11587179,top_100,retper
225,4,-1.3716565,top_100,retper
226,4,-3.97151974,top_100,retper
227,4,-7.35662621,top_100,retper
228,4,-4.73246836,top_100,retper
229,4,-3.92200555,top_100,retper
230,4,-8.36146906,top_100,retper
231,4,-7.22231133,top_100,retper
232,4,-3.24175953,top_100,retper
233,4,1.10942763,top_100,retper
234,4,1.43007702,top_100,retper
235,4,-1.08073181,top_100,retper
236,4,1.18093108,top_100,retper
237,4,0.44715786,top_100,retper
238,4,-2.71054162,top_100,retper
239,4,1.03770238,top_100,retper
240,4,1.41495283,top_100,retper
241,4,5.56480511,top_100,retper
242,4,-1.54294533,top_100,retper
243,4,5.80522154,top_100,retper
244,4,2.85377343,top_100,retper
245,4,2.53648834,top_100,retper
246,4,4.80500772,top_100,retper
247,4,3.53235705,top_100,retper
248,4,1.44781748,top_100,retper
249,4,3.64776395,top_100,retper
250,4,0.58393344,top_100,retper
251,4,2.66188525,top_100,retper
252,4,3.4097937,top_100,retper
253,4,0.99452751,top_100,retper
254,4,6.58005908,top_100,retper
255,4,1.95615565,top_100,retper
256,6,-2.15246433,top_100,retper
257,6,0.36800879,top_100,retper
258,6,0.1388715,top_100,retper
259,6,-0.84513659,top_100,retper
260,6,-4.20383432,top_100,retper
261,6,-1.55399905,top_100,retper
262,6,0.33655146,top_100,retper
263,6,-2.78459679,top_100,retper
264,6,0.73369282,top_100,retper
265,6,1.177355,top_100,retper
266,6,3.54140741,top_100,retper
267,6,1.94602033,top_100,retper
268,6,3.65068336,top_100,retper
269,6,4.15980683,top_100,retper
270,6,0.41202413,top_100,retper
271,6,1.42955167,top_100,retper
272,6,-0.89783125,top_100,retper
273,6,-1.56828818,top_100,retper
274,6,-3.83614867,top_100,retper
275,6,-0.70994625,top_100,retper
276,6,-2.73594874,top_100,retper
277,6,-1.28091876,top_100,retper
278,6,-0.48164653,top_100,retper
279,6,-2.77563954,top_100,retper
280,6,1.02358141,top_100,retper
281,6,-0.49889494,top_100,retper
282,6,3.06266932,top_100,retper
283,6,-0.33298483,top_100,retper
284,6,3.08147936,top_100,retper
285,6,-0.67875408,top_100,retper
286,6,2.66149197,top_100,retper
287,6,-1.22991725,top_100,retper
288,13,-1.93817123,top_100,retper
289,13,-1.32197003,top_100,retper
290,13,-3.23621235,top_100,retper
291,13,-3.86963319,top_100,retper
292,13,-3.44050569,top_100,retper
293,13,-2.69684982,top_100,retper
294,13,-3.83096139,top_100,retper
295,13,-2.8189151,top_100,retper
296,13,-0.92846909,top_100,retper
297,13,-1.45019889,top_100,retper
298,13,-0.8313899,top_100,retper
299,13,-1.96924547,top_100,retper
300,13,-0.34068191,top_100,retper
301,13,1.26792019,top_100,retper
302,13,0.61120527,top_100,retper
303,13,-1.07030317,top_100,retper
304,13,2.06075347,top_100,retper
305,13,1.53049904,top_100,retper
306,13,1.50277254,top_100,retper
307,13,2.5527585,top_100,retper
308,13,-0.1639022,top_100,retper
309,13,1.22962363,top_100,retper
310,13,-0.11958497,top_100,retper
311,13,4.49136082,top_100,retper
312,13,0.61426104,top_100,retper
313,13,3.55505153,top_100,retper
314,13,-1.84594064,top_100,retper
315,13,4.71095951,top_100,retper
316,13,-0.4303656,top_100,retper
317,13,5.24035368,top_100,retper
318,13,-1.77670297,top_100,retper
319,13,2.04481109,top_100,retper
320,3,-1.42242557,top_100,retper
321,3,1.24613275,top_100,retper
322,3,-5.37523331,top_100,retper
323,3,0.33849506,top_100,retper
324,3,-1.65598639,top_100,retper
325,3,-2.70491318,top_100,retper
326,3,-2.55585897,top_100,retper
327,3,-0.18136942,top_100,retper
328,3,-1.36846478,top_100,retper
329,3,0.15853569,top_100,retper
330,3,-1.20132554,top_100,retper
331,3,-0.99548975,top_100,retper
332,3,-2.2699697,top_100,retper
333,3,-0.74342086,top_100,retper
334,3,-2.11399423,top_100,retper
335,3,-2.77988585,top_100,retper
336,3,6.1824601,top_100,retper
337,3,-2.08999927,top_100,retper
338,3,2.20782154,top_100,retper
339,3,0.65230198,top_100,retper
340,3,3.7187423,top_100,retper
341,3,1.54473227,top_100,retper
342,3,2.82989443,top_100,retper
343,3,0.91395419,top_100,retper
344,3,1.53568685,top_100,retper
345,3,-1.39282178,top_100,retper
346,3,3.34003549,top_100,retper
347,3,-0.85471104,top_100,retper
348,3,6.51238913,top_100,retper
349,3,-0.75934318,top_100,retper
350,3,-0.30634202,top_100,retper
351,3,-0.23632216,top_100,retper
352,10,-0.13777153,top_100,retper
353,10,-2.72066751,top_100,retper
354,10,-0.95822925,top_100,retper
355,10,-2.56211109,top_100,retper
356,10,-1.94492199,top_100,retper
357,10,-2.15237809,top_100,retper
358,10,-3.13704683,top_100,retper
359,10,-1.69287644,top_100,retper
360,10,-0.32358292,top_100,retper
361,10,0.62622015,top_100,retper
362,10,-0.71495228,top_100,retper
363,10,-0.42006662,top_100,retper
364,10,-1.52440671,top_100,retper
365,10,-3.56086612,top_100,retper
366,10,-2.8425973,top_100,retper
367,10,-1.87127498,top_100,retper
368,10,2.38181343,top_100,retper
369,10,3.38989034,top_100,retper
370,10,1.91027679,top_100,retper
371,10,2.5057279,top_100,retper
372,10,-4.29204712,top_100,retper
373,10,4.3822948,top_100,retper
374,10,3.49663345,top_100,retper
375,10,2.73467914,top_100,retper
376,10,-0.20174013,top_100,retper
377,10,1.56637175,top_100,retper
378,10,0.48080488,top_100,retper
379,10,3.51859314,top_100,retper
380,10,2.77472535,top_100,retper
381,10,-3.23907505,top_100,retper
382,10,3.63027144,top_100,retper
383,10,1.39839807,top_100,retper
384,9,-2.16420512,top_100,retper
385,9,-1.72036174,top_100,retper
386,9,-2.4961812,top_100,retper
387,9,-3.11995814,top_100,retper
388,9,-1.00900916,top_100,retper
389,9,-0.03676913,top_100,retper
390,9,-0.58499531,top_100,retper
391,9,-2.4843983,top_100,retper
392,9,-1.91822095,top_100,retper
393,9,0.15208648,top_100,retper
394,9,1.57555277,top_100,retper
395,9,1.61906402,top_100,retper
396,9,-1.11158697,top_100,retper
397,9,0.13341696,top_100,retper
398,9,-0.43792063,top_100,retper
399,9,-0.01511937,top_100,retper
400,9,1.17393627,top_100,retper
401,9,1.66284969,top_100,retper
402,9,2.32867827,top_100,retper
403,9,0.1312277,top_100,retper
404,9,-0.52418785,top_100,retper
405,9,3.83992789,top_100,retper
406,9,-0.62360098,top_100,retper
407,9,-0.03489513,top_100,retper
408,9,2.67104368,top_100,retper
409,9,1.72007769,top_100,retper
410,9,-2.54135715,top_100,retper
411,9,2.66129118,top_100,retper
412,9,-1.53256003,top_100,retper
413,9,-1.14335768,top_100,retper
414,9,2.92916382,top_100,retper
415,9,-0.63189089,top_100,retper
416,1,-0.87366247,top_100,retper
417,1,0.73016468,top_100,retper
418,1,-3.26103313,top_100,retper
419,1,-1.15506242,top_100,retper
420,1,0.35413276,top_100,retper
421,1,-3.28354084,top_100,retper
422,1,-1.23871972,top_100,retper
423,1,0.11372951,top_100,retper
424,1,-1.5527883,top_100,retper
425,1,-0.08309561,top_100,retper
426,1,-0.79151676,top_100,retper
427,1,-1.92092201,top_100,retper
428,1,-2.65555142,top_100,retper
429,1,-2.17720447,top_100,retper
430,1,-2.7367128,top_100,retper
431,1,0.78569299,top_100,retper
432,1,3.34099047,top_100,retper
433,1,-4.58285377,top_100,retper
434,1,-0.14654072,top_100,retper
435,1,-5.73490206,top_100,retper
436,1,-0.51906712,top_100,retper
437,1,3.64453951,top_100,retper
438,1,2.14650526,top_100,retper
439,1,1.10808171,top_100,retper
440,1,2.41770029,top_100,retper
441,1,2.40289801,top_100,retper
442,1,1.9768119,top_100,retper
443,1,-0.39005942,top_100,retper
444,1,4.96030301,top_100,retper
445,1,-0.67316163,top_100,retper
446,1,8.33666037,top_100,retper
447,1,1.46061552,top_100,retper
448,0,-6.44820976,top_100,retper
449,0,-2.98316934,top_100,retper
