index,sub_id,mask_size,condition,auc
8,9,top_7000,retper,0.9140625
9,10,top_7000,retper,0.9140625
10,11,top_7000,retper,0.984375
11,12,top_7000,retper,0.7890625
12,13,top_7000,retper,0.88671875
13,14,top_7000,retper,0.9453125
14,15,top_7000,retper,0.8671875
15,16,top_7000,retper,0.875
16,17,top_7000,retper,0.89453125
17,18,top_7000,retper,0.9140625
18,19,top_7000,retper,0.88671875
19,20,top_7000,retper,0.92578125
20,21,top_7000,retper,1.0
21,22,top_7000,retper,0.78515625
22,23,top_7000,retper,0.9296875
23,24,top_7000,retper,0.96484375
24,1,top_7000,scrret,0.71875
25,2,top_7000,scrret,0.66796875
26,3,top_7000,scrret,0.921875
27,4,top_7000,scrret,0.87109375
28,5,top_7000,scrret,0.5859375
29,6,top_7000,scrret,0.921875
30,7,top_7000,scrret,0.8359375
31,8,top_7000,scrret,0.85546875
32,9,top_7000,scrret,0.90234375
33,10,top_7000,scrret,0.79296875
34,11,top_7000,scrret,0.87890625
35,12,top_7000,scrret,0.9375
36,13,top_7000,scrret,0.84765625
37,14,top_7000,scrret,0.859375
38,15,top_7000,scrret,0.80859375
39,16,top_7000,scrret,0.76953125
40,17,top_7000,scrret,0.82421875
41,18,top_7000,scrret,0.8671875
42,19,top_7000,scrret,0.90625
43,20,top_7000,scrret,0.92578125
44,21,top_7000,scrret,0.90625
45,22,top_7000,scrret,0.8046875
46,23,top_7000,scrret,0.94140625
47,24,top_7000,scrret,0.80859375
48,1,top_7000,scrper,0.60546875
49,2,top_7000,scrper,0.6953125
50,3,top_7000,scrper,0.87890625
51,4,top_7000,scrper,0.7265625
52,5,top_7000,scrper,0.69921875
53,6,top_7000,scrper,0.875
54,7,top_7000,scrper,0.890625
55,8,top_7000,scrper,0.734375
56,9,top_7000,scrper,0.84765625
57,10,top_7000,scrper,0.57421875
58,11,top_7000,scrper,0.8046875
59,12,top_7000,scrper,0.84375
60,13,top_7000,scrper,0.47265625
61,14,top_7000,scrper,0.78125
62,15,top_7000,scrper,0.70703125
63,16,top_7000,scrper,0.73828125
64,17,top_7000,scrper,0.75
65,18,top_7000,scrper,0.81640625
66,19,top_7000,scrper,0.640625
67,20,top_7000,scrper,0.62890625
68,21,top_7000,scrper,0.8125
69,22,top_7000,scrper,0.69140625
70,23,top_7000,scrper,0.890625
71,24,top_7000,scrper,0.921875
0,1,top_10000,retper,0.8359375
1,2,top_10000,retper,0.75
2,3,top_10000,retper,0.90625
3,4,top_10000,retper,0.75390625
4,5,top_10000,retper,0.82421875
5,6,top_10000,retper,0.93359375
6,7,top_10000,retper,0.83203125
7,8,top_10000,retper,0.9140625
8,9,top_10000,retper,0.92578125
9,10,top_10000,retper,0.94140625
